Id,Predicted
253,0
254,0 25
255,11
256,23
257,5
258,25
259,21
260,14 17
261,19
262,0
263,0 5
264,13
265,0
266,12 25
267,0
268,0
269,0 5 25
270,19
271,25
272,0 12
273,2 25
274,2
275,0 18 19
276,0 2
277,11
278,0 5
279,0
280,0 3 25
281,2
282,3
283,9
284,0 1
285,0 12 21
286,0
287,7
288,2
289,7
290,0 5
291,0 14 23
292,21
293,7
294,4 19
295,0 21
296,25
297,0 2 25
298,0 5
299,0 2
300,0
301,0 5
302,11 25
303,14
304,25
305,0
306,1
307,14 16 17
308,21
309,0
310,25
311,11
312,7
313,0
314,0
315,14
316,14 16 17
317,0 2
318,0
319,0 17 25
320,19
321,6
322,21
323,0 2
324,0
325,0 7
326,21
327,0
328,2
329,14
330,5
331,25
332,17 25
333,0 1
334,2 11 14
335,7
336,24
337,25
338,0 25
339,6
340,0
341,0 18
342,0 2
343,14
344,4 21 25
345,0 5 25
346,18
347,3
348,2 21 25
349,0 7 25
350,0 7
351,9 10
352,25
353,4
354,0
355,3
356,24
357,0 5
358,0 16 17 25
359,2
360,11 25
361,2 25
362,25
363,25
364,7
365,11
366,11
367,0
368,0
369,0 5
370,23
371,0 1
372,0 21 25
373,25
374,0 23
375,14
376,0
377,3 25
378,12 21
379,4 13 21 25
380,0 21
381,7
382,0
383,14
384,0 5
385,14
386,0 2
387,3
388,18
389,21 25
390,11
391,25
392,0 14
393,21 25
394,0 5
395,0
396,21
397,0 11 25
398,11
399,0
400,0 21
401,0
402,21
403,0 14 21
404,0 25
405,2 23
406,0 20 23
407,23
408,2 11
409,1 11
410,25
411,0
412,23
413,7
414,0
415,0 26
416,21
417,25
418,0 2 25
419,7 24
420,0
421,0 3
422,25
423,4 25
424,0 25
425,0 7
426,25
427,18 19
428,0
429,4 25
430,12 21
431,0 25
432,23
433,0 14
434,25
435,0 23
436,0 4
437,0
438,2
439,7
440,1
441,21
442,25
443,0 2
444,0 17 25
445,22
446,0
447,21 25
448,17 25
449,17 18 25
450,12
451,2
452,4 25
453,0
454,0
455,0
456,3
457,6
458,0
459,4
460,0 25
461,21 25
462,2
463,2 25
464,7
465,21
466,23
467,23
468,0 2 11
469,7
470,3
471,18
472,0 2
473,0 25
474,17
475,3
476,0 25
477,25
478,6
479,4
480,14
481,0 25
482,4
483,0
484,22
485,0 21 25
486,25
487,0 13
488,4
489,0 1
490,0
491,25
492,25
493,2 25
494,0 25
495,7
496,25
497,0 7
498,0 23
499,0
500,21
501,2
502,0
503,21
504,21
505,0
506,0 21 25
507,7
508,0
509,0 7
510,0
511,0 7 25
512,13
513,0 2
514,21 25
515,21
516,7
517,0 23
518,16 25
519,3
520,19
521,0 25
522,1
523,0 14
524,21
525,21 25
526,4
527,7
528,0 25
529,21
530,18 19
531,0 25
532,0 25
533,0 14
534,4 25
535,14
536,2 25
537,19
538,0 25
539,19
540,12
541,0
542,0
543,0
544,0
545,7
546,4
547,0 16
548,2
549,0 2
550,23
551,14
552,2 25
553,0 11 25
554,2
555,21
556,12 21
557,25
558,21 25
559,0
560,7
561,0
562,21
563,0
564,25
565,0
566,0 21
567,0 25
568,25
569,0
570,25
571,0
572,14 16 25
573,0 19
574,25
575,24
576,0 16 17 25
577,7
578,0
579,0
580,0 25
581,23
582,11
583,25
584,21
585,0
586,21
587,4
588,23
589,11
590,0
591,23
592,0 22
593,6
594,21
595,0 25
596,5
597,2 3
598,2 15
599,14
600,11
601,1
602,23
603,0 25
604,25
605,21
606,0
607,19
608,4
609,0 21
610,0 25
611,7
612,14
613,14
614,19
615,21 25
616,23
617,1
618,0 25
619,7
620,25
621,5
622,0 12
623,14
624,25
625,0 21
626,5 21 22
627,21 22
628,0 25
629,25
630,12 21
631,25
632,0 7
633,0
634,3 25
635,14
636,0 18
637,0 19
638,5
639,21
640,5 21
641,13
642,0
643,2 23 25
644,0 7
645,11
646,0 25
647,21 25
648,5
649,21
650,21 25
651,21
652,0
653,5
654,2
655,5 21
656,0
657,0 1
658,0 1 18 19
659,25
660,19
661,0
662,0
663,0 16
664,0 25
665,2
666,7
667,5 25
668,5 25
669,21
670,14 16 17
671,0 21 22
672,0 2 25
673,7
674,25
675,18 19
676,1
677,21
678,19
679,18 19
680,23
681,1
682,0 14
683,22
684,0 25
685,0 25
686,0 22
687,0
688,0
689,0 16 25
690,0 25
691,23
692,0 22
693,4
694,13
695,0 21 25
696,11
697,0
698,0 21 25
699,0 5 14 25
700,5
701,7
702,20 23
703,14
704,0 2 25
705,5
706,11
707,7
708,0
709,3
710,0 21
711,0 25
712,21
713,1 16 25
714,25
715,0
716,11
717,2
718,2 5
719,21
720,0 18
721,21
722,25
723,0 7 25
724,19
725,0 2
726,0 2
727,0
728,0 2
729,0
730,0 25
731,0 22 25
732,0 5
733,21
734,0 2 7
735,0
736,0 19
737,0 25
738,0
739,23
740,15 25
741,0 25
742,23
743,25
744,21
745,18 21
746,0 13
747,0
748,17
749,0 21
750,0
751,23
752,2
753,0
754,0
755,5
756,21
757,0 1
758,0
759,25
760,21 25
761,25
762,0 2
763,14
764,5 7
765,21 25
766,7 21
767,21
768,7
769,7
770,7
771,18
772,23
773,0 5 21 25
774,25
775,0 16 17
776,14 16 25
777,6
778,0 2 16
779,21 25
780,0
781,11
782,14 17
783,0 16
784,14 17
785,25
786,0 18 25
787,6
788,5
789,7
790,7
791,0
792,0
793,0 26
794,0 25
795,25
796,7
797,0
798,21 25
799,0 2 25
800,0 25
801,12
802,0
803,0 5
804,0 4 21
805,21
806,19 23
807,17 18 25
808,25
809,0
810,2
811,11
812,2
813,0
814,0 7
815,7
816,0
817,14
818,2 14
819,0 25
820,25
821,0 13
822,0 25
823,0 25
824,0
825,25
826,25
827,25
828,21 25
829,21 22
830,25
831,21
832,0 25
833,0
834,0
835,0 15
836,2
837,0 19
838,0 5
839,2 21
840,0 25
841,0
842,0
843,0 3
844,7
845,26
846,0 25
847,16 17
848,19 21
849,21
850,0 25
851,21
852,16 17
853,21
854,0 25
855,0 1
856,22
857,0
858,14
859,0 19
860,21
861,0
862,0
863,0 1 16
864,25
865,0 17 25
866,5 12
867,0 18 25
868,0 16 17
869,0 5
870,11
871,5 22
872,0 2
873,0 5
874,11
875,0
876,0
877,2
878,25
879,6
880,0
881,0
882,22
883,0
884,0
885,21
886,0 23
887,0 23
888,25
889,25
890,0
891,5
892,23
893,21
894,2 7
895,0 1 7
896,6
897,26
898,25
899,0 25
900,0 7
901,21 25
902,21 22
903,23
904,25
905,14
906,4
907,0 17 25
908,0 5
909,19 21 25
910,3
911,25
912,0
913,0
914,26
915,0 7
916,14
917,25
918,7 18
919,2 25
920,7
921,25
922,0
923,23
924,25
925,0 3
926,0 21
927,21 25
928,2 7 25
929,0 25
930,25
931,11
932,4
933,4
934,21
935,14
936,21
937,0 3 25
938,19
939,23
940,21
941,0 25
942,21
943,21
944,1 22 25
945,1
946,16
947,7
948,0 1
949,25
950,2
951,0 11
952,14 16 25
953,0 3
954,25
955,4 25
956,21
957,0 25
958,19
959,0
960,0
961,0 11
962,17
963,7
964,12
965,7
966,0 23
967,0 25
968,0 7
969,7
970,21 25
971,0 25
972,0
973,0
974,0 22
975,0
976,0 2
977,0
978,0 25
979,21
980,11
981,0 7
982,0 25
983,3
984,21 25
985,3 5
986,3
987,18 25
988,23
989,5
990,19
991,2 16
992,0 1
993,0 2
994,0 2
995,5
996,0
997,0 21
998,0
999,11
1000,26
1001,0
1002,0
1003,3
1004,5 21
1005,7
1006,0 2
1007,1
1008,4
1009,21
1010,0 2 19
1011,0 16
1012,0 2
1013,23
1014,0
1015,0 5
1016,0
1017,1
1018,0
1019,23
1020,19 25
1021,23
1022,0 7
1023,0 21 25
1024,12
1025,0 17 25
1026,0 2
1027,0
1028,7 21
1029,13 25
1030,3
1031,25
1032,0 25
1033,23
1034,0
1035,25
1036,21
1037,0 5
1038,6
1039,5
1040,25
1041,0 19
1042,0 1
1043,0 1 18 19
1044,0 17 25
1045,0 2
1046,0
1047,7
1048,3
1049,0 21
1050,0 25
1051,0 5 25
1052,0 1
1053,18 19
1054,5
1055,3 23
1056,1 21 25
1057,4
1058,11
1059,0 2 25
1060,25
1061,0 25
1062,6
1063,21 25
1064,2
1065,25
1066,0
1067,0 22
1068,4
1069,12
1070,21 23 25
1071,7
1072,25
1073,5 18
1074,23
1075,4
1076,11 25
1077,2 23
1078,21 25
1079,0 18
1080,0
1081,3
1082,17
1083,21
1084,3
1085,21 25
1086,0 7 25
1087,25
1088,20
1089,0
1090,5 25
1091,0 23
1092,0
1093,0 2
1094,6
1095,0
1096,7
1097,0 25
1098,5
1099,19
1100,13
1101,4
1102,23
1103,0 23
1104,23 25
1105,25
1106,0
1107,2
1108,1
1109,7
1110,23
1111,6
1112,0
1113,4 21
1114,0 21 25
1115,12
1116,0 25
1117,2
1118,0 16 17
1119,0 5
1120,4
1121,21
1122,5 21 25
1123,7
1124,18 25
1125,21 25
1126,5
1127,0
1128,0
1129,0 21 25
1130,0 1
1131,21 25
1132,0
1133,7
1134,0 25
1135,0
1136,0
1137,23
1138,0 25
1139,25
1140,0
1141,22
1142,21
1143,21
1144,2 25
1145,0 26
1146,0
1147,0
1148,0 13
1149,18 25
1150,0
1151,0 1
1152,25
1153,0
1154,7
1155,0
1156,25
1157,0 21 25
1158,23
1159,0
1160,0 12 21
1161,0 2
1162,21
1163,25
1164,0
1165,0 25
1166,25
1167,21 25
1168,21
1169,23
1170,0 25
1171,5
1172,1
1173,0 25
1174,4 21 25
1175,16 25
1176,0 16 17
1177,2 25
1178,7
1179,25
1180,2 12
1181,21 25
1182,0
1183,5
1184,0 14 16
1185,25 26
1186,17 25
1187,23
1188,3
1189,0
1190,0
1191,23
1192,21
1193,0
1194,0 19
1195,5
1196,19
1197,0 5
1198,0 1 25
1199,19
1200,11
1201,0 22
1202,0 25
1203,0
1204,6
1205,0 17 25
1206,0 7
1207,0 25
1208,4
1209,21
1210,7
1211,21 22
1212,1
1213,0 25
1214,25
1215,3 5
1216,25
1217,14
1218,0 19
1219,25
1220,2
1221,0 21 25
1222,0 17 25
1223,13 23
1224,19
1225,14
1226,0 25
1227,11
1228,0 25
1229,20
1230,0 3
1231,25
1232,2 19
1233,0 13
1234,0 21 23 25
1235,0 2
1236,23
1237,0
1238,19
1239,0
1240,19 21 25
1241,23
1242,0 2 25
1243,17 25
1244,0 18 19 25
1245,25
1246,16
1247,26
1248,14
1249,25
1250,0 18 19
1251,0
1252,0
1253,25
1254,25
1255,25
1256,21 25
1257,23
1258,0
1259,0 2
1260,23
1261,7
1262,0 25
1263,0
1264,0 1
1265,0
1266,4
1267,27
1268,0
1269,0 1
1270,12 21
1271,4
1272,0
1273,5
1274,0
1275,0 5
1276,21
1277,0 25
1278,11
1279,19
1280,5
1281,0
1282,0 7
1283,6
1284,14 16 17
1285,5
1286,0 19
1287,0
1288,16 25
1289,9
1290,7
1291,0
1292,0 2
1293,4 25
1294,0 7 25
1295,23 25
1296,21
1297,0 21
1298,0 5
1299,0 1
1300,0 5
1301,4
1302,0
1303,25
1304,0 7
1305,21 25
1306,0 21 25
1307,0 25 26
1308,25
1309,5
1310,11
1311,5 25
1312,18 19
1313,0 21
1314,0 25
1315,12
1316,0
1317,25
1318,0 23
1319,0
1320,3 22
1321,0 23
1322,2
1323,0 13
1324,0
1325,11 25
1326,2 23 25
1327,0
1328,21 22 23
1329,25
1330,11
1331,22
1332,26
1333,0
1334,0 5
1335,0
1336,14
1337,0
1338,25
1339,0 5
1340,0 7
1341,0 2 3
1342,0
1343,3
1344,23
1345,23
1346,0 19
1347,6
1348,0
1349,4 7 25
1350,0 25
1351,2 25
1352,0
1353,25
1354,0 25
1355,0
1356,0 18 19
1357,26
1358,0 25
1359,0 18
1360,0
1361,19
1362,5
1363,0
1364,21 25
1365,19
1366,25
1367,0 4 14
1368,0 25
1369,0 23
1370,0 22 23
1371,0 17
1372,0
1373,23
1374,0 18 25
1375,1
1376,26
1377,0 21
1378,0 25
1379,0 5
1380,21
1381,0
1382,25
1383,0 25
1384,0
1385,5
1386,7 25
1387,6 25
1388,0 2
1389,0
1390,12 25
1391,6
1392,6
1393,11
1394,0 5 25
1395,2
1396,21
1397,0 25
1398,0 1
1399,14 17
1400,0 16
1401,25
1402,0
1403,1
1404,7
1405,14
1406,0
1407,19
1408,25
1409,11
1410,19
1411,12
1412,0 11
1413,7 21 25
1414,3
1415,0
1416,2 3 25
1417,23
1418,0 25
1419,18
1420,0 25
1421,0 2
1422,0 17 25
1423,2 13 25
1424,19
1425,5 25
1426,25
1427,0 25
1428,25
1429,0
1430,21
1431,0 25
1432,3 23
1433,25
1434,24
1435,0 25
1436,0
1437,0 2 3
1438,0
1439,0 16 17
1440,25
1441,0
1442,19
1443,0
1444,0 18 19
1445,5
1446,0 25
1447,3
1448,0 3
1449,0
1450,0 2
1451,25
1452,25
1453,6
1454,25
1455,2
1456,0 19
1457,14
1458,23
1459,21
1460,0
1461,4 25
1462,0
1463,0 25
1464,0 18 19
1465,23
1466,14
1467,0 18
1468,5
1469,0 3 23
1470,0 22
1471,0 2
1472,2
1473,0 1 25
1474,0
1475,7
1476,0 16
1477,0 3
1478,17
1479,23 25
1480,25
1481,0
1482,21 22
1483,4
1484,0 25
1485,14
1486,0 25
1487,7
1488,2 23
1489,0
1490,0 2 19 25
1491,3
1492,18 21 25
1493,0 12
1494,2 23
1495,4
1496,3
1497,2
1498,25
1499,23
1500,2
1501,14
1502,25
1503,21 25
1504,19
1505,13 21
1506,25
1507,7
1508,0 21
1509,25
1510,23
1511,21
1512,3
1513,25
1514,2 11
1515,2
1516,0 2
1517,5
1518,2 19
1519,23
1520,2 3 7
1521,4
1522,3 25
1523,2 11 22
1524,0 16
1525,0 21
1526,0
1527,1
1528,21 25
1529,0
1530,25
1531,7 12 21
1532,0 3
1533,16 17
1534,16
1535,25
1536,21 25
1537,0
1538,0 2
1539,21 23
1540,0 22
1541,17
1542,22
1543,25
1544,0
1545,13
1546,0
1547,0 25
1548,11
1549,0
1550,0
1551,14 25
1552,0 5 25
1553,25
1554,5
1555,0
1556,13 21
1557,0
1558,0 25
1559,0 25
1560,0 21 25
1561,3
1562,2
1563,11
1564,11
1565,0 1
1566,6
1567,6
1568,25
1569,0 25
1570,7
1571,3
1572,0
1573,23
1574,0 18
1575,23
1576,5
1577,25
1578,2 14
1579,0 12
1580,0
1581,0 25
1582,25
1583,0 21
1584,25
1585,0
1586,0 5 25
1587,21 25
1588,0
1589,0 26
1590,0 16 19
1591,0 21
1592,2
1593,21
1594,0 25
1595,23
1596,0 2
1597,5 25
1598,5
1599,5
1600,0 25
1601,14
1602,5 16
1603,25
1604,0 12
1605,19
1606,23
1607,26
1608,0
1609,0 1 25
1610,20
1611,11
1612,0
1613,11
1614,16 21
1615,2
1616,0
1617,25
1618,7
1619,7
1620,0
1621,14
1622,0
1623,2 5
1624,0
1625,7
1626,0
1627,7
1628,0
1629,21
1630,23
1631,2
1632,23
1633,0 19
1634,0
1635,2 19 25
1636,0
1637,0
1638,7
1639,0 25
1640,0 25
1641,0
1642,0 2
1643,14 17
1644,0 17 25
1645,25
1646,0 25
1647,0 7
1648,25
1649,0 21 25
1650,0 21
1651,21
1652,0
1653,11
1654,0
1655,0
1656,0 2 18
1657,0 7
1658,0
1659,0
1660,25
1661,0
1662,0 23
1663,5
1664,0
1665,0
1666,2 25
1667,0 14
1668,0
1669,0 2 25
1670,23
1671,23
1672,0 26
1673,5 25
1674,23
1675,19
1676,6
1677,4
1678,0 19
1679,0 2 25
1680,3
1681,6
1682,5
1683,2 21
1684,0 25
1685,0 25
1686,0 12 21
1687,1
1688,7
1689,0 1
1690,0 25
1691,0 21
1692,25
1693,7
1694,0 25
1695,0 1
1696,26
1697,0
1698,23
1699,0 14
1700,25
1701,14 16
1702,23
1703,21 22
1704,2 25
1705,0
1706,0
1707,23
1708,0 2
1709,0 18 19
1710,2 7
1711,23
1712,1
1713,0 7 25
1714,5
1715,0
1716,0
1717,23
1718,25
1719,12
1720,25
1721,21
1722,0 12
1723,25
1724,14
1725,2
1726,25
1727,2
1728,14 16 17
1729,0 18 19
1730,21
1731,18
1732,0
1733,0 4
1734,21
1735,22
1736,21
1737,0 25
1738,24
1739,3
1740,21 25
1741,0
1742,0
1743,21 25
1744,0
1745,23
1746,13 21
1747,25
1748,0 25
1749,1 2
1750,0 7
1751,0 1
1752,0 7
1753,2
1754,0
1755,2
1756,7
1757,0 5
1758,0
1759,2 21 25
1760,23
1761,18 19
1762,25
1763,21 25
1764,0 25
1765,25
1766,7 21 25
1767,0
1768,17 25
1769,22
1770,0 2 25
1771,7 25
1772,23
1773,0 25
1774,0 25
1775,18 19
1776,7
1777,0 23
1778,3
1779,21
1780,0 25
1781,19
1782,0 18
1783,0 2
1784,0
1785,3
1786,5
1787,25
1788,0 25
1789,21
1790,12 25
1791,4 25
1792,7 18
1793,5 25
1794,0
1795,5
1796,25
1797,0
1798,0 19
1799,0
1800,2 11 14
1801,19
1802,4 16
1803,0 15
1804,23
1805,25
1806,5
1807,0 7
1808,21
1809,12 21
1810,12
1811,7
1812,4
1813,0 1 21 25
1814,1
1815,0 18 19
1816,3 25
1817,25
1818,25
1819,21
1820,7 25
1821,2
1822,7
1823,0 24
1824,26
1825,0
1826,2 21
1827,21
1828,25
1829,0
1830,21 25
1831,11
1832,25
1833,0 23
1834,0
1835,16 17 25
1836,0
1837,22
1838,14
1839,25
1840,5
1841,0
1842,0
1843,0
1844,21
1845,1
1846,21 25
1847,0 25
1848,7
1849,24
1850,0 25
1851,0
1852,1
1853,0 2
1854,17 25
1855,0 21
1856,7
1857,7
1858,0
1859,0 25
1860,4
1861,2 25
1862,0 23
1863,21 25
1864,4
1865,0 1
1866,0 1
1867,1
1868,19 21
1869,0
1870,7 25
1871,14
1872,21 25
1873,11
1874,14 16
1875,23
1876,0 14
1877,3 23
1878,4
1879,4 26
1880,0
1881,11
1882,21 25
1883,0 1 21
1884,25
1885,7
1886,0
1887,19
1888,13 21 25
1889,1 21
1890,2 25
1891,0
1892,25
1893,0 23
1894,19
1895,0
1896,25
1897,0 2 21
1898,0
1899,0
1900,6
1901,5
1902,0 3 24
1903,11
1904,14 25
1905,4
1906,0
1907,0 25
1908,23
1909,5
1910,23
1911,16
1912,21
1913,0
1914,0 18 19
1915,0
1916,23
1917,0 25
1918,18
1919,0 7
1920,0
1921,11
1922,19
1923,4 25
1924,1
1925,3
1926,6
1927,0
1928,21
1929,0 25
1930,17
1931,24
1932,0 25
1933,25
1934,0 25
1935,21 25
1936,0 26
1937,0
1938,2
1939,25
1940,0 4 25
1941,2
1942,0 16 17 25
1943,25
1944,0 1 21 25
1945,11
1946,25
1947,21
1948,21 25
1949,21
1950,11
1951,23
1952,14 16
1953,0 25
1954,14 17
1955,0 18
1956,14
1957,14
1958,4
1959,1
1960,0
1961,3 11
1962,0 14
1963,0 25
1964,2 16
1965,25
1966,11
1967,0
1968,0
1969,0
1970,22
1971,0 21 25
1972,0 18 19
1973,2 3 25
1974,19 25
1975,5 25
1976,11
1977,2
1978,0
1979,7
1980,2 23
1981,2 13 25
1982,23
1983,0 5
1984,0
1985,21
1986,0
1987,2
1988,0 11
1989,0 16 17 25
1990,0 25
1991,0 3
1992,0 18 19
1993,0 1
1994,22
1995,23
1996,0
1997,0 5
1998,0
1999,11
2000,24
2001,0 2 25
2002,0
2003,18 19 25
2004,0 13 25
2005,25
2006,6
2007,21
2008,18
2009,23
2010,5
2011,0
2012,0 21
2013,0
2014,5
2015,25
2016,0
2017,25
2018,0 16 21
2019,0 2
2020,12
2021,23
2022,14
2023,0 5
2024,19
2025,0
2026,0 1
2027,0 21 25
2028,0 7
2029,0
2030,21 25
2031,4
2032,7
2033,0
2034,5
2035,5
2036,0 21 25
2037,1
2038,25
2039,21
2040,0
2041,0 1 25
2042,0 25
2043,5
2044,2 21 25
2045,14
2046,0
2047,21
2048,4
2049,23
2050,23
2051,0
2052,0
2053,11 24
2054,23
2055,26
2056,0
2057,5
2058,0
2059,21 25
2060,0 2
2061,25
2062,19
2063,4 21
2064,0 21
2065,0 18 19
2066,21 25
2067,0 14
2068,0 11
2069,0 17 25
2070,14
2071,0
2072,21
2073,20
2074,21
2075,21 25
2076,0 25
2077,21
2078,0
2079,21
2080,25
2081,0
2082,5
2083,4 21 25
2084,1
2085,0 1
2086,18
2087,0
2088,7
2089,11 14
2090,25
2091,0
2092,25
2093,19 25
2094,0
2095,23
2096,7 11
2097,0 17 25
2098,0 1
2099,11
2100,0 2
2101,25
2102,2 25
2103,18 19
2104,0 2
2105,0
2106,12
2107,0 25
2108,2
2109,0 21 25
2110,23
2111,13 22
2112,2
2113,0 2
2114,1 2
2115,17 18 21
2116,0 5 25
2117,0 11
2118,0 17 25
2119,14
2120,0 18
2121,0
2122,0 2
2123,4
2124,12
2125,25
2126,0 5 25
2127,0 13 25
2128,0
2129,4
2130,21
2131,25
2132,5
2133,0
2134,0
2135,25
2136,0 11
2137,17
2138,0 25
2139,0
2140,23
2141,6
2142,2
2143,0 12
2144,14
2145,14
2146,18
2147,0 1
2148,0 25
2149,2 21 25
2150,0
2151,12 21
2152,5
2153,2 21 25
2154,0 22
2155,24
2156,0 23
2157,7
2158,7
2159,21
2160,0 25
2161,14
2162,4
2163,25
2164,7
2165,0
2166,25
2167,0 2
2168,21 22
2169,16 17
2170,25 26
2171,3
2172,21 25
2173,0
2174,0
2175,0 25
2176,25
2177,0
2178,7 18
2179,6
2180,0
2181,7
2182,0 21
2183,21 25
2184,25 26
2185,2 25
2186,21 25
2187,6
2188,0 2 7
2189,24
2190,5 25
2191,21 25
2192,0 2 25
2193,0
2194,3
2195,0 2 19
2196,0 25
2197,6
2198,11
2199,0 23
2200,0 21
2201,13
2202,0
2203,0 14 16 17 25
2204,1 25
2205,7
2206,21 25
2207,25
2208,0
2209,21
2210,0
2211,0 24 25
2212,4
2213,0 21
2214,0 14 16 25
2215,25
2216,23
2217,14
2218,3
2219,19
2220,0 19
2221,0 7 23
2222,21 25
2223,13
2224,21
2225,14 17
2226,5
2227,0 25
2228,23
2229,25
2230,0 19
2231,0 21
2232,19 25
2233,25
2234,18 19
2235,2 21
2236,7 21 22
2237,25
2238,0 25
2239,21
2240,0 16
2241,0 16
2242,0 1
2243,0
2244,4
2245,0
2246,4 25
2247,7 23
2248,0 21 25
2249,25
2250,7 25
2251,0 25
2252,0 7
2253,7
2254,19
2255,12 21
2256,23
2257,21
2258,24 25
2259,18 25
2260,0
2261,20
2262,23
2263,0
2264,21
2265,4
2266,1 11
2267,0 5 25
2268,25
2269,0
2270,21
2271,2 25
2272,12 13
2273,25
2274,0 11
2275,25
2276,4
2277,0 13 25
2278,2 23
2279,20 25
2280,25
2281,0
2282,3
2283,0 14 25
2284,25
2285,0 2 25
2286,23
2287,0 25
2288,0 25
2289,0 25
2290,21
2291,5 21
2292,0
2293,0 21
2294,0
2295,25
2296,21
2297,5
2298,0 18
2299,25
2300,0 25
2301,0 2
2302,0 7
2303,0
2304,25
2305,14
2306,23
2307,0
2308,0 25
2309,25
2310,0
2311,6
2312,0
2313,1 21
2314,19
2315,0 21
2316,0 2
2317,23
2318,23
2319,0 11
2320,0 14
2321,0
2322,11
2323,0 25
2324,0
2325,4
2326,1
2327,0
2328,24
2329,11
2330,16
2331,13 25
2332,0
2333,0
2334,2 14
2335,7
2336,0 1
2337,3
2338,0 21 25
2339,5 25
2340,0
2341,0 2
2342,2 16
2343,20
2344,13
2345,25
2346,0
2347,0 2 19
2348,7
2349,21 22
2350,0
2351,0 16 17 25
2352,2 23
2353,3 7
2354,4
2355,21
2356,0 19
2357,25
2358,14
2359,25
2360,0
2361,0
2362,3
2363,21
2364,25
2365,1 21 25
2366,3
2367,0
2368,12 21
2369,9 10
2370,0 25
2371,7
2372,2
2373,21 22
2374,0 2 24 25
2375,0 21
2376,25
2377,11
2378,7
2379,6
2380,25
2381,21
2382,0
2383,25
2384,0 5
2385,3
2386,22
2387,0
2388,18 19
2389,2
2390,25
2391,0
2392,2 25
2393,0 25
2394,2
2395,18
2396,14
2397,0 25
2398,4 14
2399,0
2400,0
2401,0 25
2402,6
2403,6
2404,22
2405,2 14 25
2406,11
2407,0 25
2408,23
2409,14 17
2410,0
2411,0
2412,0
2413,0 5
2414,0 2
2415,0
2416,0 14
2417,0
2418,0 7
2419,18 19
2420,25
2421,0
2422,9 10
2423,0
2424,0
2425,4
2426,0 18
2427,0 19
2428,7
2429,14 17
2430,0 7
2431,0 25
2432,0 2 22
2433,0 1
2434,2
2435,2 3
2436,5
2437,0
2438,0
2439,23
2440,0 1
2441,0 5
2442,17 25
2443,6
2444,0 16 17
2445,0
2446,6
2447,2
2448,23
2449,7 18 21
2450,11
2451,0 21
2452,2
2453,0 1
2454,14
2455,1
2456,2
2457,2
2458,23
2459,1
2460,6
2461,4 26
2462,0 1
2463,0
2464,0 13
2465,0 14
2466,0 5 17
2467,0 25
2468,0
2469,0 25
2470,12
2471,0 2
2472,18 25
2473,21 25
2474,12
2475,0 14
2476,7
2477,0 25
2478,26
2479,25
2480,0 24
2481,2 14
2482,25
2483,23
2484,25
2485,0 25
2486,0
2487,23
2488,11
2489,21
2490,7
2491,0 21
2492,21
2493,2 5
2494,0
2495,0
2496,11
2497,5
2498,6 9 10
